prod_ai,drug_name,eu_num,hum_or_vet,procedure_type
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Pharmasole,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Pharmazapine,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Plazeron,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Portal,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Positivum,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Pram,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Pramexyl,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Prandulin Semanal,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Presar,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Pricital,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Prilect,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Primoxatine,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Prisdal,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Prisma,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Prosimed,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Proxerene,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Prozac,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Prozamel,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Prozatan,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Psipax,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Ranbaxy,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Ranflutin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Reboxetine,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Redoxamin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Rejkapram,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Relapaz,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Remergil,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Remergon,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Remeron,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Remood,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Reneuron,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Rexer,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Rexetin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Ronal,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Roxac,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",SNRIs,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine","SSRIs, SNRIs",,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Salipax,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sartuzin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Selective serotonin reuptake inhibitors (SSRIs),,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Selectus,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sepram,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serad,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serelan,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sereupin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serital,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serlain,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serlan,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serlift,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serlinan,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serocel,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serodur,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Seroliber,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Seromex,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Seronil,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Seroplex,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Seropram,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serorex,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serotonin and norepinephrine reuptake inhibitors (SNRIs),,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serotor,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Seroxat,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Serseitran,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertahexal,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertaxilin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertra,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertrabeck,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertrabt,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertral,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertralex,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertralin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertralina,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertraline,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertraratio,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertratifi,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertrawitt,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sertrix,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Seról,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Setralexin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sipralexa,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sofelin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Somac,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Sopax,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Stephadilat-S,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Stimuloton,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Strattera,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Stressless,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tagonis,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Talocit,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tarzapine,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tatig,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tazamel,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Thiramil,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tirzamed,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Titroxatine,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tolmin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tolvin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tolvon,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tralinan,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tralix,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Trapar,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tresleen,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Trevilor,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Tuneluz,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Valdren,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Vandral,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Varoxetin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Vastat,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Velafax,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Venlafaxin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Venlafaxine,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Venlax,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Venlaxor,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Xeredien,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Xetin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Xetiran,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Zafluox,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Zeelinax,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Zenon,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Zicomber,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Zinovat,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Zismirt,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Zispin,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Zistap,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Zoloft,,Human,Referral
"Atomoxetine, Citalopram, Escitalopram, Fluoxetine, Fluvoxamine, Mianserine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline and Venlafaxine",Zyloram,,Human,Referral
Atorvastatin,Atorvastatin,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Atorvastatin Pfizer,,Human,Referral
Atorvastatin,Atorvastatina,,Human,Referral
Atorvastatin,Atorvastatina Nostrum,,Human,Referral
Atorvastatin,Atorvastatina Parke-Davis,,Human,Referral
Atorvastatin,Atorvastatina Pharmacia,,Human,Referral
Atorvastatin,Cardyl,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Edovin,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Lipita,,Human,Referral
Atorvastatin,Lipitor,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Lipitor and associated names,,Human,Referral
Atorvastatin,Liprimar,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Obradon,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Orbeos,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Prevencor,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Sortis,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Tahor,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Texzor,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Torvast,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Totalip,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Xarator,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,Zarator,,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
Atorvastatin,"    ,,",,Human,Referral
atosiban,Atosiban SUN,EU/1/13/852,Human,Centralised
atosiban,Tractocile,EU/1/99/124,Human,Centralised
autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human ADA cDNA sequence,Strimvelis,EU/1/16/1097,Human,Centralised
Autologous peripheral blood mononuclear cells activated with PAP-GM-CSF (Sipuleucel-T),Provenge,EU/1/13/867,Human,Centralised
avanafil,Spedra,EU/1/13/841,Human,Centralised
avelumab,Bavencio,EU/1/17/1214,Human,Centralised
